season,round,date,Circuit_circuitId
2020,1,2020-07-05,red_bull_ring
2020,2,2020-07-12,red_bull_ring
2020,3,2020-07-19,hungaroring
2020,4,2020-08-02,silverstone
2020,5,2020-08-09,silverstone
2020,6,2020-08-16,catalunya
2020,7,2020-08-30,spa
2020,8,2020-09-06,monza
2020,9,2020-09-13,mugello
2020,10,2020-09-27,sochi
2020,11,2020-10-11,nurburgring
2020,12,2020-10-25,portimao
2020,13,2020-11-01,imola
2020,14,2020-11-15,istanbul
2020,15,2020-11-29,bahrain
2020,16,2020-12-06,bahrain
2020,17,2020-12-13,yas_marina
2021,1,2021-03-28,bahrain
2021,2,2021-04-18,imola
2021,3,2021-05-02,portimao
2021,4,2021-05-09,catalunya
2021,5,2021-05-23,monaco
2021,6,2021-06-06,baku
2021,7,2021-06-20,ricard
2021,8,2021-06-27,red_bull_ring
2021,9,2021-07-04,red_bull_ring
2021,10,2021-07-18,silverstone
2021,11,2021-08-01,hungaroring
2021,12,2021-08-29,spa
2021,13,2021-09-05,zandvoort
2021,14,2021-09-12,monza
2021,15,2021-09-26,sochi
2021,16,2021-10-10,istanbul
2021,17,2021-10-24,americas
2021,18,2021-11-07,rodriguez
2021,19,2021-11-14,interlagos
2021,20,2021-11-21,losail
2021,21,2021-12-05,jeddah
2021,22,2021-12-12,yas_marina
2022,1,2022-03-20,bahrain
2022,2,2022-03-27,jeddah
2022,3,2022-04-10,albert_park
2022,4,2022-04-24,imola
2022,5,2022-05-08,miami
2022,6,2022-05-22,catalunya
2022,7,2022-05-29,monaco
2022,8,2022-06-12,baku
2022,9,2022-06-19,villeneuve
2022,10,2022-07-03,silverstone
2022,11,2022-07-10,red_bull_ring
2022,12,2022-07-24,ricard
2022,13,2022-07-31,hungaroring
2022,14,2022-08-28,spa
2022,15,2022-09-04,zandvoort
2022,16,2022-09-11,monza
2022,17,2022-10-02,marina_bay
2022,18,2022-10-09,suzuka
2022,19,2022-10-23,americas
2022,20,2022-10-30,rodriguez
2022,21,2022-11-13,interlagos
2022,22,2022-11-20,yas_marina
