season,Driver_driverId,Constructor_constructorId
2020,bottas,mercedes
2020,leclerc,ferrari
2020,norris,mclaren
2020,hamilton,mercedes
2020,sainz,mclaren
2020,perez,racing_point
2020,gasly,alphatauri
2020,ocon,renault
2020,giovinazzi,alfa
2020,vettel,ferrari
2020,latifi,williams
2020,kvyat,alphatauri
2020,albon,red_bull
2020,raikkonen,alfa
2020,russell,williams
2020,grosjean,haas
2020,kevin_magnussen,haas
2020,stroll,racing_point
2020,ricciardo,renault
2020,max_verstappen,red_bull
2020,hulkenberg,racing_point
2020,russell,mercedes
2020,aitken,williams
2020,pietro_fittipaldi,haas
2021,hamilton,mercedes
2021,max_verstappen,red_bull
2021,bottas,mercedes
2021,norris,mclaren
2021,perez,red_bull
2021,leclerc,ferrari
2021,ricciardo,mclaren
2021,sainz,ferrari
2021,tsunoda,alphatauri
2021,stroll,aston_martin
2021,raikkonen,alfa
2021,giovinazzi,alfa
2021,ocon,alpine
2021,russell,williams
2021,vettel,aston_martin
2021,mick_schumacher,haas
2021,gasly,alphatauri
2021,latifi,williams
2021,alonso,alpine
2021,mazepin,haas
2021,kubica,alfa
2022,leclerc,ferrari
2022,sainz,ferrari
2022,hamilton,mercedes
2022,russell,mercedes
2022,kevin_magnussen,haas
2022,bottas,alfa
2022,ocon,alpine
2022,tsunoda,alphatauri
2022,alonso,alpine
2022,zhou,alfa
2022,mick_schumacher,haas
2022,stroll,aston_martin
2022,albon,williams
2022,ricciardo,mclaren
2022,norris,mclaren
2022,latifi,williams
2022,hulkenberg,aston_martin
2022,perez,red_bull
2022,max_verstappen,red_bull
2022,gasly,alphatauri
2022,vettel,aston_martin
