Driver_driverId,Driver_code,Driver_givenName,Driver_familyName
bottas,BOT,Valtteri,Bottas
leclerc,LEC,Charles,Leclerc
norris,NOR,Lando,Norris
hamilton,HAM,Lewis,Hamilton
sainz,SAI,Carlos,Sainz
perez,PER,Sergio,Pérez
gasly,GAS,Pierre,Gasly
ocon,OCO,Esteban,Ocon
giovinazzi,GIO,Antonio,Giovinazzi
vettel,VET,Sebastian,Vettel
latifi,LAT,Nicholas,Latifi
kvyat,KVY,Daniil,Kvyat
albon,ALB,Alexander,Albon
raikkonen,RAI,Kimi,Räikkönen
russell,RUS,George,Russell
grosjean,GRO,Romain,Grosjean
kevin_magnussen,MAG,Kevin,Magnussen
stroll,STR,Lance,Stroll
ricciardo,RIC,Daniel,Ricciardo
max_verstappen,VER,Max,Verstappen
hulkenberg,HUL,Nico,Hülkenberg
aitken,AIT,Jack,Aitken
pietro_fittipaldi,FIT,Pietro,Fittipaldi
tsunoda,TSU,Yuki,Tsunoda
mick_schumacher,MSC,Mick,Schumacher
alonso,ALO,Fernando,Alonso
mazepin,MAZ,Nikita,Mazepin
kubica,KUB,Robert,Kubica
zhou,ZHO,Guanyu,Zhou
